Data_Size,N,Mem_Usage (MB),Time_Add (s),TP_Add (ops/s),Time_View (s),TP_View (ops/s),Time_Delete (s)
Small,1000,0.0687,0.000933,1071811.36,3e-06,333333333.33,1e-06
Medium,50000,3.4332,1.41662,35295.28,6.2e-05,806451612.9,3.1e-05
Large,200000,13.7329,24.37508,8205.1,0.000278,719424460.43,0.000146
